sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
154,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
155,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
156,biased,0.09,0110,IIIXI,IIYII,IIYXI,1000,-1,0
157,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
158,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
159,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
160,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
161,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
162,biased,0.09,0001,XIIII,XIIII,IIIII,0000,1,1
163,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
164,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
165,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
166,biased,0.09,0110,IIIXI,IIYII,IIYXI,1000,-1,0
167,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
168,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
169,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
170,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
171,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
172,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
173,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
174,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
175,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
176,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
177,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
178,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
179,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
180,biased,0.09,1001,YIZII,YIIII,IIZII,0010,-1,0
181,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
182,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
183,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
184,biased,0.09,0001,XIIII,XIIII,IIIII,0000,1,1
185,biased,0.09,0010,IIZII,IXIII,IXZII,1010,-1,0
186,biased,0.09,0110,IIIXI,IIYII,IIYXI,1000,-1,0
187,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
