sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2272,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2273,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2274,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2275,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2276,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2277,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2278,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2279,bitflip,0.07,1011,IXIIX,YIIII,YXIIX,0000,-1,0
2280,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2281,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2282,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2283,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2284,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2285,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
